Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6,Class,Health,Mana,Speed,Physical_Protection,Magical_Protection
Joust,Hades,2,10,3,,,,,,,Mage,0.5,0.6,0.30000000000000004,0.7380952380952381,0.5
Joust,Nut,5,6,8,,,,,,,Hunter,0.5357142857142857,0.5,0.5,0.40476190476190477,0.5
Joust,Nut,7,8,7,,,,,,,Hunter,0.5357142857142857,0.5,0.5,0.40476190476190477,0.5
Joust,Nut,7,9,2,,,,,,,Hunter,0.5357142857142857,0.5,0.5,0.40476190476190477,0.5
Joust,Sun_Wukong,1,5,9,,,,,,,Warrior,0.5357142857142857,0.4285714285714286,0.5,0.7380952380952381,0.75
Joust,Achilles,4,4,5,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Arena,Hades,6,1,12,,,,,,,Mage,0.5,0.6,0.30000000000000004,0.7380952380952381,0.5
Arena,Zeus,2,13,11,,,,,,,Mage,0.0,0.5428571428571428,0.10000000000000003,0.07142857142857145,0.5
Joust,Ymir,5,3,10,,,,,,,Guardian,0.75,0.41428571428571426,0.5,1.0,1.0
Arena,Nut,7,9,11,,,,,,,Hunter,0.5357142857142857,0.5,0.5,0.40476190476190477,0.5
Arena,Ra,4,0,12,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Medusa,2,9,6,,,,,,,Hunter,0.4642857142857143,0.4714285714285714,0.30000000000000004,0.35714285714285715,0.5
Joust,Achilles,2,10,1,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Achilles,2,5,0,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Arena,Achilles,9,1,18,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Arena,Achilles,8,7,9,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Arena,Achilles,8,10,3,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Achilles,1,8,6,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Achilles,1,4,1,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Ra,8,11,5,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Slash,Achilles,7,6,8,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Cernunnos,0,8,7,,,,,,,Hunter,0.5357142857142857,0.4714285714285714,0.30000000000000004,0.40476190476190477,0.5
Joust,Cernunnos,0,5,1,,,,,,,Hunter,0.5357142857142857,0.4714285714285714,0.30000000000000004,0.40476190476190477,0.5
Joust,Nut,5,7,6,,,,,,,Hunter,0.5357142857142857,0.5,0.5,0.40476190476190477,0.5
Joust,Achilles,3,0,5,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Ix_Chel,2,7,7,,,,,,,Mage,0.0,0.7,0.10000000000000003,0.35714285714285715,0.5
Arena,Tyr,7,5,16,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Slash,Erlang_Shen,1,11,7,,,,,,,Warrior,0.5714285714285714,0.4714285714285714,0.7000000000000001,0.6904761904761905,0.75
Joust,Chiron,2,5,4,,,,,,,Hunter,0.3928571428571429,0.48571428571428577,0.9,0.35714285714285715,0.5
Joust,Chiron,4,9,1,,,,,,,Hunter,0.3928571428571429,0.48571428571428577,0.9,0.35714285714285715,0.5
Arena,Erlang_Shen,9,7,22,,,,,,,Warrior,0.5714285714285714,0.4714285714285714,0.7000000000000001,0.6904761904761905,0.75
Arena,Tyr,8,11,12,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Chiron,5,3,4,,,,,,,Hunter,0.3928571428571429,0.48571428571428577,0.9,0.35714285714285715,0.5
